year,hs2,mfn_adval_hs2,mfn_spec_q1_hs2,mfn_other_hs2,has_additional_duty_hs2,sector_big
2015,86,0.04284375,0.0,0.0,0,transport_equipment
2015,87,0.02556353591160221,0.0,0.0,0,transport_equipment
2015,88,0.001764705882352941,0.0,0.0,0,transport_equipment
2015,89,0.004590909090909091,0.0,0.0,0,transport_equipment
2015,90,168.36679627946128,168.3523232154882,168.35016833333333,0,precision_instruments
2015,91,5114.959924775862,5115.034005235631,5114.943309833333,0,precision_instruments
2015,92,0.027878048780487805,0.0024390243902439024,0.0,0,precision_instruments
2015,93,909.1040605151516,909.0951514242424,909.090909,0,arms_ammunition
2015,94,0.022704545454545453,0.0,0.0,0,misc_manufactures
2015,95,0.020636363636363637,0.003116883116883117,0.0,0,misc_manufactures
2015,96,85.51824785470086,85.48351964957264,85.47008546153846,0,misc_manufactures
2015,97,0.0,0.0,0.0,0,art_collectors_pieces
