year,hs4,mfn_adval_hs4,mfn_spec_q1_hs4,mfn_other_hs4,has_additional_duty_hs4,sector
2015,1702,1000.0430665666667,1000.0580465666667,999.9999998999999,0,other
2015,1703,0.0,0.0018,0.0,0,other
2015,1704,0.08708333333333333,0.10000000000000002,0.0,0,other
2015,1801,0.0,0.0,0.0,0,other
2015,1802,0.0,0.0,0.0,0,other
2015,1803,0.0,0.001,0.0,0,other
2015,1804,0.0,0.0,0.0,0,other
2015,1805,0.0,0.0052,0.0,0,other
2015,1806,0.058625000000000003,0.18098611111111113,0.0,0,other
2015,1901,0.10979591836734694,0.21195306122448979,0.0,0,other
2015,1902,0.045714285714285714,0.0,0.0,0,other
2015,1903,0.0,0.004,0.0,0,other
2015,1904,0.0992,0.0,0.0,0,other
2015,1905,0.0064285714285714285,0.0,0.0,0,other
2015,2001,0.06728571428571428,0.009571428571428573,0.0,0,other
2015,2002,0.119,0.0,0.0,0,other
2015,2003,0.05666666666666667,0.04,0.0,0,other
2015,2004,0.057600000000000005,0.004200000000000001,0.0,0,other
2015,2005,0.0326,0.0316,0.0,0,other
2015,2006,0.07271428571428572,0.022714285714285715,0.0,0,other
2015,2007,0.057550000000000004,0.0,0.0,0,other
2015,2008,0.1103768115942029,0.018081159420289854,0.0,0,other
2015,2009,0.0,0.03444333333333334,0.0,0,other
2015,2101,0.074,0.09255,0.0,0,other
2015,2102,0.032,0.0,0.0,0,other
2015,2103,0.04833333333333333,0.02775,0.0,0,other
2015,2104,0.0285,0.0,0.0,0,other
2015,2105,0.18714285714285714,0.14342857142857143,0.0,0,other
2015,2106,465.1622557674418,465.36193279069767,465.1162790232558,0,other
2015,2201,0.0,0.0013,0.0,0,other
2015,2202,2000.0668998,2000.0362498,1999.9999997999998,0,other
2015,2203,0.0,0.0,0.0,0,other
2015,2204,0.0,0.13272727272727272,0.028545454545454544,0,other
2015,2205,0.0,0.038400000000000004,0.0,0,other
2015,2206,0.0,0.04920000000000001,0.0442,0,other
2015,2207,0.014666666666666666,0.063,0.0,0,other
2015,2208,0.0,0.01957142857142857,0.0,0,other
2015,2209,0.0,0.005,0.0,0,other
2015,2301,0.0,0.0,0.0,0,other
2015,2302,0.0035,0.0,0.0,0,other
2015,2303,0.004666666666666667,0.0,0.0,0,other
2015,2304,0.0,0.0045,0.0,0,other
2015,2305,0.0,0.0032,0.0,0,other
2015,2306,0.0,0.0031999999999999997,0.0,0,other
2015,2307,0.0,0.0,0.0,0,other
2015,2308,0.01175,0.0,0.0,0,other
2015,2309,0.04318181818181818,0.1461818181818182,0.0,0,other
2015,2401,0.3783783783783784,0.2907567567567567,0.0,0,other
2015,2402,0.023142857142857142,1.0067142857142857,0.0,0,other
2015,2403,0.8076923076923077,0.23623076923076924,0.0,0,other
2015,2501,0.0,0.0,0.0,0,other
2015,2502,0.0,0.0,0.0,0,other
2015,2503,0.0,0.0,0.0,0,other
2015,2504,0.0,0.0,0.0,0,other
2015,2505,0.0,0.0,0.0,0,other
2015,2506,0.0,0.0,0.0,0,other
2015,2507,0.0,0.0,0.0,0,other
2015,2508,0.0,0.0,0.0,0,other
2015,2509,0.0,0.0,0.0,0,other
2015,2510,0.0,0.0,0.0,0,other
2015,2511,0.0,0.4166666666666667,0.0,0,other
2015,2512,0.0,0.0,0.0,0,other
2015,2513,0.0,0.0,0.0,0,other
2015,2514,0.0,0.0,0.0,0,other
2015,2515,0.015,0.0,0.0,0,other
2015,2516,0.017599999999999998,0.0,0.0,0,other
2015,2517,0.0,0.0,0.0,0,other
2015,2518,0.01,0.0,0.0,0,other
2015,2519,0.0,0.0,0.0,0,other
2015,2520,0.0,0.0,0.0,0,other
2015,2521,0.0,0.0,0.0,0,other
2015,2522,0.0,0.0,0.0,0,other
2015,2523,0.0,0.0,0.0,0,other
2015,2524,0.0,0.0,0.0,0,other
2015,2525,0.0,0.0,0.0,0,other
2015,2526,0.0,0.0,0.0,0,other
2015,2528,0.0,0.0,0.0,0,other
2015,2529,0.0,0.0,0.0,0,other
2015,2530,0.004833333333333334,0.0,0.0,0,other
2015,2601,0.0,0.0,0.0,0,other
2015,2602,0.0,0.0,0.0,0,other
2015,2603,9999.999999,9999.999999,9999.999999,0,other
2015,2604,0.0,0.0,0.0,0,other
2015,2605,0.0,0.0,0.0,0,other
2015,2606,0.0,0.0,0.0,0,other
2015,2607,9999.999999,9999.999999,9999.999999,0,other
2015,2608,0.0,0.0,0.0,0,other
